Player,Team,Pos,Total Points,Round Points,Global Own %,League Own %,League Start %,League Cpt %
Iliman Ndiaye,Senegal,M,0,0,17.0,0.8333333333333334,0.5833333333333334,
Victor Osimhen,Nigeria,F,0,0,42.9,0.75,0.6666666666666666,
Stanley Nwabali,Nigeria,G,0,0,11.5,0.6666666666666666,,
Bono,Morocco,G,7,7,56.0,0.5833333333333334,0.5833333333333334,
Brahim Díaz,Morocco,M,11,11,20.6,0.5,0.5,0.3333333333333333
Kamory Doumbia,Mali,M,0,0,2.2,0.4166666666666667,0.4166666666666667,0.08333333333333333
Kalidou Koulibaly,Senegal,D,0,0,31.1,0.4166666666666667,0.4166666666666667,
Sadio Mané,Senegal,M,0,0,29.2,0.4166666666666667,0.4166666666666667,
Amadou Dante,Mali,D,0,0,7.5,0.4166666666666667,0.3333333333333333,
Ali Abdi,Tunisia,M,0,0,6.5,0.3333333333333333,0.3333333333333333,
Romain Saïss,Morocco,D,1,1,6.0,0.3333333333333333,0.25,
Azzedine Ounahi,Morocco,M,5,5,11.0,0.25,0.25,0.16666666666666666
Achraf Hakimi,Morocco,D,0,0,33.1,0.25,0.25,
Riyad Mahrez,Algeria,M,0,0,17.1,0.25,0.25,
Ademola Lookman,Nigeria,F,0,0,9.4,0.25,0.25,
Luca Zidane,Algeria,G,0,0,5.3,0.25,0.25,
Bryan Mbeumo,Cameroon,M,0,0,26.1,0.25,0.16666666666666666,0.08333333333333333
Ramy Bensebaini,Algeria,D,0,0,10.5,0.25,0.16666666666666666,0.08333333333333333
Franck Kessié,Côte d'Ivoire,M,0,0,9.2,0.25,0.16666666666666666,
Mohamed Salah,Egypt,M,0,0,32.2,0.16666666666666666,0.16666666666666666,0.16666666666666666
Amad Diallo,Côte d'Ivoire,F,0,0,23.3,0.16666666666666666,0.16666666666666666,
Noussair Mazraoui,Morocco,D,12,12,9.4,0.16666666666666666,0.16666666666666666,
Nayef Aguerd,Morocco,D,8,8,8.5,0.16666666666666666,0.16666666666666666,
Pape Matar Sarr,Senegal,M,0,0,8.3,0.16666666666666666,0.16666666666666666,
Nicolas Jackson,Senegal,F,0,0,7.4,0.16666666666666666,0.16666666666666666,
Mamadou Sarr,Senegal,D,0,0,6.6,0.16666666666666666,0.16666666666666666,
Marvelous Nakamba,Zimbabwe,M,0,0,3.2,0.16666666666666666,0.16666666666666666,
Baghdad Bounedjah,Algeria,F,0,0,2.1,0.16666666666666666,0.08333333333333333,
Hazem Mastouri,Tunisia,F,0,0,1.8,0.16666666666666666,0.08333333333333333,
Samir Sophian Chergui,Algeria,D,0,0,1.1,0.16666666666666666,0.08333333333333333,
Soufiane Rahimi,Morocco,F,-3,-3,6.5,0.16666666666666666,,
Mbekezeli Mbokazi,South Africa,D,0,0,1.8,0.16666666666666666,,
Lassine Sinayoko,Mali,F,0,0,1.4,0.08333333333333333,0.08333333333333333,0.08333333333333333
Omar Marmoush,Egypt,F,0,0,22.0,0.08333333333333333,0.08333333333333333,
Hervé Koffi,Burkina Faso,G,0,0,13.3,0.08333333333333333,0.08333333333333333,
Mohamed Amoura,Algeria,F,0,0,9.9,0.08333333333333333,0.08333333333333333,
Calvin Bassey,Nigeria,D,0,0,9.8,0.08333333333333333,0.08333333333333333,
Edmond Tapsoba,Burkina Faso,D,0,0,9.4,0.08333333333333333,0.08333333333333333,
Shandre Campbell,South Africa,M,0,0,9.2,0.08333333333333333,0.08333333333333333,
Mohamed Hany,Egypt,D,0,0,8.8,0.08333333333333333,0.08333333333333333,
Anass Salah-Eddine,Morocco,D,15,15,7.1,0.08333333333333333,0.08333333333333333,
Teboho Mokoena,South Africa,M,0,0,6.9,0.08333333333333333,0.08333333333333333,
Semi Ajayi,Nigeria,D,0,0,6.4,0.08333333333333333,0.08333333333333333,
Ousmane Camara,Mali,D,0,0,6.1,0.08333333333333333,0.08333333333333333,
Jawad El Yamiq,Morocco,D,8,8,5.6,0.08333333333333333,0.08333333333333333,
Mohamed Hamdi,Egypt,D,0,0,5.3,0.08333333333333333,0.08333333333333333,
Mabululu,Angola,F,0,0,5.1,0.08333333333333333,0.08333333333333333,
Ismael Saibari,Morocco,M,4,4,5.0,0.08333333333333333,0.08333333333333333,
Oswin Appollis,South Africa,M,0,0,4.6,0.08333333333333333,0.08333333333333333,
Noah Sadiki,DR Congo,M,0,0,3.9,0.08333333333333333,0.08333333333333333,
Ousmane Diomande,Côte d'Ivoire,D,0,0,3.9,0.08333333333333333,0.08333333333333333,
Houssem Aouar,Algeria,M,0,0,3.5,0.08333333333333333,0.08333333333333333,
Zaidu Sanusi,Nigeria,D,0,0,3.4,0.08333333333333333,0.08333333333333333,
Elias Achouri,Tunisia,M,0,0,3.2,0.08333333333333333,0.08333333333333333,
Lamine Camara,Senegal,M,0,0,2.8,0.08333333333333333,0.08333333333333333,
Dango Ouattara,Burkina Faso,F,0,0,2.7,0.08333333333333333,0.08333333333333333,
Ayoub El Kaabi,Morocco,F,6,6,2.5,0.08333333333333333,0.08333333333333333,
Nouhou Tolo,Cameroon,D,0,0,2.5,0.08333333333333333,0.08333333333333333,
Samuel Essende,DR Congo,F,0,0,2.3,0.08333333333333333,0.08333333333333333,
Ilan Kebbal,Algeria,M,0,0,1.9,0.08333333333333333,0.08333333333333333,
Adem Arous,Tunisia,D,0,0,1.2,0.08333333333333333,0.08333333333333333,
Gelson Dala,Angola,F,0,0,0.9,0.08333333333333333,0.08333333333333333,
Javier Mum,Equatorial Guinea,D,0,0,0.7,0.08333333333333333,0.08333333333333333,
Kenneth Semakula,Uganda,M,0,0,0.6,0.08333333333333333,0.08333333333333333,
Ebenezer Akinsanmiro,Nigeria,M,0,0,0.5,0.08333333333333333,0.08333333333333333,
Marcel Dandjinou,Benin,G,0,0,0.5,0.08333333333333333,0.08333333333333333,
Kennedy Musonda,Zambia,F,0,0,0.3,0.08333333333333333,0.08333333333333333,
Jonathan Do Marcolino,Gabon,D,0,0,0.3,0.08333333333333333,0.08333333333333333,
Altayeb Abaker,Sudan,D,0,0,0.3,0.08333333333333333,0.08333333333333333,
Teenage Hadebe,Zimbabwe,D,0,0,0.2,0.08333333333333333,0.08333333333333333,
Edouard Mendy,Senegal,G,0,0,21.1,0.08333333333333333,,
Mohamed Tougai,Algeria,D,0,0,7.9,0.08333333333333333,,
Moussa Niakhaté,Senegal,D,0,0,5.4,0.08333333333333333,,
Steven Mukwala,Uganda,F,0,0,2.7,0.08333333333333333,,
Dylan Bronn,Tunisia,D,0,0,2.5,0.08333333333333333,,
Nasser Djiga,Burkina Faso,D,0,0,2.2,0.08333333333333333,,
Emilio Nsue,Equatorial Guinea,F,0,0,2.0,0.08333333333333333,,
Shomari Kapombe,Tanzania,D,0,0,2.0,0.08333333333333333,,
Hamza Igamane,Morocco,F,0,0,1.7,0.08333333333333333,,
Georges-Kévin N'Koudou,Cameroon,M,0,0,1.6,0.08333333333333333,,
Matthieu Epolo,DR Congo,G,0,0,1.6,0.08333333333333333,,
David Owori,Uganda,M,0,0,1.4,0.08333333333333333,,
Novatus Miroshi,Tanzania,M,0,0,1.2,0.08333333333333333,,
Shanganani Nganda,Botswana,D,0,0,1.2,0.08333333333333333,,
Frankie Musonda,Zambia,D,0,0,1.1,0.08333333333333333,,
Dickson Job,Tanzania,D,0,0,0.8,0.08333333333333333,,
Manuel Benson,Angola,M,0,0,0.7,0.08333333333333333,,
Yakoub Suleiman,Tanzania,G,0,0,0.7,0.08333333333333333,,
Iban Salvador,Equatorial Guinea,F,0,0,0.6,0.08333333333333333,,
Basilio Ndong,Equatorial Guinea,D,0,0,0.3,0.08333333333333333,,
Sessi D'Almeida,Benin,M,0,0,0.3,0.08333333333333333,,
Brendan Galloway,Zimbabwe,D,0,0,0.3,0.08333333333333333,,
Macauley Bonne,Zimbabwe,F,0,0,0.3,0.08333333333333333,,
Adebiyi Marcel Serge Obassa,Benin,G,0,0,0.2,0.08333333333333333,,
Ronwen Williams,South Africa,G,0,0,18.2,,,
Rayan Aït-Nouri,Algeria,M,0,0,17.3,,,
Mohamed El-Shenawy,Egypt,G,0,0,15.4,,,
Aaron Wan-Bissaka,DR Congo,D,0,0,15.2,,,
Chancel Mbemba,DR Congo,D,0,0,12.7,,,
Yves Bissouma,Mali,M,0,0,10.9,,,
Guéla Doué,Côte d'Ivoire,D,0,0,10.4,,,
