Player,Team,Pos,Price,Total Points,Round Points,Rnd Strt,Global Own %,League Own %,League Start %,League Cpt %,League Owners,Event Start Timestamp
Iliman Ndiaye,Senegal,M,7.0,4.0,4.0,1.0,16.4,0.8333333333333334,0.5833333333333334,,"['Allardyced', 'BafanaBhoys', 'Bantah Boyz', 'CôteIvoriehasnoelephants', 'Espresso All Stars', 'EvanRh', 'Kingozil', 'Little Bonne-key', 'Wernham Hogpile', ""Where's Your Wissa Gone""]",2025-12-23T15:00:00Z
Victor Osimhen,Nigeria,F,11.0,3.0,3.0,1.0,39.8,0.75,0.5833333333333334,0.08333333333333333,"['Allardyced', 'Bantah Boyz', 'CôteIvoriehasnoelephants', 'Draftalchemy', 'EvanRh', 'Kingozil', ""Matt's Afrikaaners"", 'Wernham Hogpile', ""Where's Your Wissa Gone""]",2025-12-23T17:30:00Z
Stanley Nwabali,Nigeria,G,4.0,4.0,4.0,1.0,10.5,0.6666666666666666,,,"['Allardyced', 'Bantah Boyz', 'CôteIvoriehasnoelephants', 'EvanRh', 'Kingozil', ""Matt's Afrikaaners"", 'Wernham Hogpile', ""Where's Your Wissa Gone""]",2025-12-23T17:30:00Z
Bono,Morocco,G,6.0,7.0,7.0,1.0,55.5,0.5833333333333334,0.5833333333333334,,"['Allardyced', 'Bantah Boyz', 'CôteIvoriehasnoelephants', 'Espresso All Stars', 'EvanRh', 'Wernham Hogpile', ""Where's Your Wissa Gone""]",2025-12-21T19:00:00Z
Brahim Díaz,Morocco,M,10.5,12.0,12.0,1.0,22.4,0.5,0.5,0.16666666666666666,"['Allardyced', 'BafanaBhoys', 'Bantah Boyz', 'Kingozil', ""Matt's Afrikaaners"", 'Wernham Hogpile']",2025-12-21T19:00:00Z
Kalidou Koulibaly,Senegal,D,6.0,8.0,8.0,1.0,31.6,0.4166666666666667,0.3333333333333333,,"['Bantah Boyz', 'CôteIvoriehasnoelephants', 'EvanRh', 'Wernham Hogpile', ""Where's Your Wissa Gone""]",2025-12-23T15:00:00Z
Amadou Dante,Mali,D,4.0,4.0,4.0,1.0,6.8,0.4166666666666667,0.3333333333333333,,"['Allardyced', 'CôteIvoriehasnoelephants', 'EvanRh', 'Kingozil', ""Where's Your Wissa Gone""]",2025-12-22T14:00:00Z
Ali Abdi,Tunisia,M,6.5,11.0,11.0,1.0,7.4,0.4166666666666667,0.25,,"['BafanaBhoys', 'Bantah Boyz', 'CôteIvoriehasnoelephants', 'Kingozil', ""Where's Your Wissa Gone""]",2025-12-23T20:00:00Z
Sadio Mané,Senegal,M,9.0,3.0,3.0,1.0,27.7,0.3333333333333333,0.3333333333333333,,"['Allardyced', 'CôteIvoriehasnoelephants', 'EvanRh', 'Kingozil']",2025-12-23T15:00:00Z
Anass Salah-Eddine,Morocco,D,6.0,15.0,15.0,1.0,10.4,0.3333333333333333,0.3333333333333333,,"['Draftalchemy', 'EvanRh', 'Kingozil', ""Matt's Afrikaaners""]",2025-12-21T19:00:00Z
Kamory Doumbia,Mali,M,7.5,2.0,2.0,1.0,1.7,0.3333333333333333,0.3333333333333333,,"['Allardyced', 'CôteIvoriehasnoelephants', 'Kingozil', ""Where's Your Wissa Gone""]",2025-12-22T14:00:00Z
Azzedine Ounahi,Morocco,M,8.0,5.0,5.0,1.0,9.9,0.25,0.25,0.16666666666666666,"['CôteIvoriehasnoelephants', 'Draftalchemy', ""Where's Your Wissa Gone""]",2025-12-21T19:00:00Z
Ademola Lookman,Nigeria,F,9.0,7.0,7.0,1.0,9.7,0.25,0.25,,"['BafanaBhoys', 'Espresso All Stars', 'Little Bonne-key']",2025-12-23T17:30:00Z
Luca Zidane,Algeria,G,5.0,8.0,8.0,1.0,6.1,0.25,0.25,,"['BafanaBhoys', 'Little Bonne-key', ""Matt's Afrikaaners""]",2025-12-24T15:00:00Z
